Month,Day,GoldenNo.,Letter,KNI
"=""05""","=""14""",xviii,A,2 ides
"=""05""","=""15""",vii,b,ides
"=""05""","=""16""",,c,17 kalends
"=""05""","=""17""",xv,d,16 kalends
"=""05""","=""18""",iiii,e,15 kalends
"=""05""","=""19""",,f,14 kalends
"=""05""","=""20""",xii,g,13 kalends
"=""05""","=""21""",i,A,12 kalends
"=""05""","=""22""",,b,11 kalends
"=""05""","=""23""",ix,c,10 kalends
"=""05""","=""24""",,d,9 kalends
"=""05""","=""25""",xvii,e,8 kalends
"=""05""","=""26""",vi,f,7 kalends
"=""05""","=""27""",,g,6 kalends
"=""05""","=""28""",xiiii,A,5 kalends
"=""05""","=""29""",iii,b,4 kalends
"=""05""","=""30""",,c,3 kalends
"=""05""","=""31""",xi,d,2 kalends
"=""06""","=""01""",,e,kalends
"=""06""","=""02""",xix,f,4 nones
"=""06""","=""03""",viii,g,3 nones
"=""06""","=""04""",xvi,A,2 nones
"=""06""","=""05""",v,b,nones
"=""06""","=""06""",,c,8 ides
"=""06""","=""07""",xiii,d,7 ides
"=""06""","=""08""",ii,e,6 ides
"=""06""","=""09""",,f,5 ides
"=""06""","=""10""",x,g,4 ides
"=""06""","=""11""",,A,3 ides
"=""06""","=""12""",xviii,b,2 ides
"=""06""","=""13""",vii,c,ides
"=""06""","=""14""",,d,18 kalends
"=""06""","=""15""",xv,e,17 kalends
"=""06""","=""16""",iiii,f,16 kalends
"=""06""","=""17""",,g,15 kalends
"=""06""","=""18""",xii,A,14 kalends
"=""06""","=""19""",i,b,13 kalends
"=""06""","=""20""",,c,12 kalends
"=""06""","=""21""",ix,d,11 kalends
"=""06""","=""22""",,e,10 kalends
"=""06""","=""23""",xvii,f,9 kalends
"=""06""","=""24""",vi,g,8 kalends
"=""06""","=""25""",,A,7 kalends
"=""06""","=""26""",xiiii,b,6 kalends
"=""06""","=""27""",iii,c,5 kalends
"=""06""","=""28""",,d,4 kalends
"=""06""","=""29""",xi,e,3 kalends
"=""06""","=""30""",,f,2 kalends
"=""07""","=""01""",xix,g,kalends
"=""07""","=""02""",viii,A,6 nones
"=""07""","=""03""",,b,5 nones
"=""07""","=""04""",xvi,c,4 nones
"=""07""","=""05""",v,d,3 nones
"=""07""","=""06""",,e,2 nones
"=""07""","=""07""",xiii,f,nones
"=""07""","=""08""",ii,g,8 ides
